Row_ID;Sex;How satisfied are you with the amount of space allocated to you and your family in the camp?;How satisfied are you with the level of hygiene and sanitation in the camp?;Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?;How satisfied are you with the quality of healthcare you and your family are receiving in the camp?;How satisfied are you with the level of psychological support you and your family are receiving in the camp?;How satisfied are you with the level of social support you and your family receive from neighbours and friends?;Do you think you are able to exercise your religion freely in the camp?;How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?;Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?;Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?;Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?;How satisfied are you with the quality of education you and your family are receiving in the camp?;How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?;How satisfied are you with the income your family makes in the camp?;How satisfied are you with the overall help you and your family have been receiving from NGOs?;How do you mostly hear about the news?;Who do you consider the most important person in your camp?;Other than family, who do you go to when you have a problem?;Do you have enough good friends in the camp?;Do you consider any Bangladeshis as your friends?;Do you believe Rohingya and Bangladeshis can be good friends?;Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?;Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?;How much do you trust the police/military/guards of camps in Bangladesh?;How much do you trust the NGOs in the camp?;How much do you trust the Majhis?;How much do you trust the Imam (religious leader)?;How often do you talk with Rohingya people outside Bangladesh and Myanmar?;In what countries are they now?;How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?;In what countries are they now?;Do you often feel stressed or overwhelmed by your situation?;Do you prefer talking about your problems with others or trying to forget what you are going through?;Do you prefer solving your problems alone or by asking others for their help?;Does talking about your every day problems with others make you feel better?;How comfortable do you feel talking about your problems with NGO workers?;Do you think the situation in the camp is better now or 6 months ago?;Do you smoke cigarettes?;How many cigarettes a day on average?;Did you also smoke before coming to Bangladesh?;Do you chew betel nuts?;How many betel nuts a day on average?;Did you also chew before coming to Bangladesh?;Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?;Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?;Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?;Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?;Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?;How often do you hear people talking about violent groups in the camp?;How do you think violence in the camp has changed over time?;Do you think that sexual harassment in the camp happens often?;Where does sexual harassment happen the most?;How afraid are you to leave your child unattended in the camp after it gets dark?;Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?;Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?;To what extent do you feel at home in the camp in Bangladesh now?;Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?;Are you willing to go?;Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?;If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?;Do you think that repatriation to Myanmar will happen in the next two years?;Do you personally know any Rohingya who left Bangladesh in the last six months?;Where did they go?;Have you thought about leaving to go to another country other than Myanmar and Bangladesh?;How scared are you to leave for another country?;Where do you think you will be in six months from now?;If you could choose any country in the world, other than Myanmar, where would you go?;Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?;How do you feel about the future?
11741;Female;Unsatisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Neighbour;Yes;No;Yes;Yes;No;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;six months ago;No;;;Yes;5;No;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Same;I don't want to answer;;Afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;India;Yes;not scared;Here, in the camp;Canada;Canada;very positive
11742;Female;Unsatisfied;Satisfied;Yes;Satisfied;Very satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Unsatisfied;Family;CIC;Head Majhi;Yes;No;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;No;Uncomfortable;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;Never;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;neither positive nor negative
11743;Female;Satisfied;Unsatisfied;No;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;No;No;;Quite a bit of trust;No trust at all;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;No;Uncomfortable;same-nothing has changed;No;;;No;;;Yes;Yes;I don't want to answer;;I don't want to answer;A few times a year;Decreased;I don't want to answer;;Afraid;Yes;No;Not at all;Yes;No;No;No;No;Yes;Malaysia;No;very scared;Another (peaceful) place/country;USA;USA;positive
11744;Female;Unsatisfied;Unsatisfied;No;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Parents;Block Majhi;Yes;No;No;Yes;No;Little trust;Little trust;Little trust;A lot of trust;Never;;Never;;No;talking;I solve my problems myself;No;Very uncomfortable;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Decreased a lot;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;Oman;No;very scared;Here, in the camp;UK;UK;neither positive nor negative
11745;Female;Unsatisfied;Satisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;Yes;No;Little trust;Little trust;Quite a bit of trust;A lot of trust;Every few months;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Decreased a lot;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Canada;Canada;positive
11746;Female;Unsatisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;No;No;No;;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Uncomfortable;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Same;Yes;In the streets;Very afraid;Yes;Yes;Very little;Yes;No;No;Yes;No;No;;Yes;not scared;Here, in the camp ;Australia;Australia;very positive
11747;Female;Unsatisfied;Satisfied;No;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Very unsatisfied;Unsatisfied;Unsatisfied;Family;CIC;CIC;Yes;No;Yes;Yes;Yes;A lot of trust;A lot of trust;No trust at all;A lot of trust;Three times a month;Saudi Arabia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;Yes;Yes;I don't want to answer;;Yes;A few times a month;Increased;Yes;In stations;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;Malaysia;No;very scared;Another (peaceful) place/country;Canada;Canada;positive
11748;Female;Unsatisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Satisfied;Very satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Head Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Same;Yes;In the streets;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;Saudi Arabia;Saudi Arabia;positive
11749;Female;Unsatisfied;Satisfied;Yes;Very satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;No;No;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;No;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;4;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;India;No;very scared;Here, in the camp;Canada;Canada;positive
11750;Female;Satisfied;Satisfied;Yes;Satisfied;Very satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;CIC;Yes;No;No;No;;A lot of trust;A lot of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;six months ago;No;;;No;;;I don't want to answer;;I don't want to answer;;Yes;A few times a month;Decreased;Yes;In the market;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;Yes;Malaysia;No;very scared;Myanmar/Motherland;USA;USA;positive
11751;Female;Unsatisfied;Satisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Very satisfied;Very unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Neighbour;Yes;No;Yes;No;;Quite a bit of trust;A lot of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Same;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;No;No;No;;No;very scared;Here, in the camp;Canada;Canada;positive
11752;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Satisfied;Neither satisfied nor unsatisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Head Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;No;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Decreased a lot;Yes;In the market;Very afraid;Yes;Yes;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Another (peaceful) place/country;Malaysia;Malaysia;positive
11753;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;6;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Decreased a lot;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;Yes;No;No;No;;No;very scared;Here, in the camp ;Canada;Canada;neither positive nor negative
11754;Female;Unsatisfied;Very satisfied;Yes;Very satisfied;Satisfied;Very satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Head Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Three times a month;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;5;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Decreased a lot;I don't want to answer;;I don't have children - does not apply;Yes;No;Very little;Yes;No;No;Yes;No;No;;Yes;not scared;Here, in the camp;Canada;Canada;positive
11755;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;6;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Decreased a lot;Yes;In the streets;Very afraid;Yes;No;Very little;Yes;No;No;No;No;No;;No;very scared;Another (peaceful) place/country;Canada;Canada;positive
11756;Female;Unsatisfied;Satisfied;Yes;Very satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Friends and neighbours;CIC;Neighbour;Yes;Yes;Yes;Yes;No;Quite a bit of trust;A lot of trust;Little trust;A lot of trust;Every few months;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;six months ago;No;;;Yes;6;Yes;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a month;Decreased;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Here, in the camp;USA;USA;positive
11757;Female;Unsatisfied;Satisfied;Yes;Very satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;CIC;Yes;Yes;Yes;No;;Quite a bit of trust;Quite a bit of trust;No trust at all;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;I don't want to answer;;I don't want to answer;;I don't want to answer;A few times a year;Decreased;I don't want to answer;In the streets;Very afraid;Yes;No;Very little;Yes;No;No;No;No;Yes;Dubai;Yes;not scared;Here, in the camp;Canada;Canada;positive
11758;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;No;talking;I ask for help;Yes;Uncomfortable;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;I don't want to answer;A few times a year;Increased;No;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Depends on what the government will decide;Turkey;I don't know about the majority;positive
11761;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Satisfied;Family;CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;No;;Yes;No;No;A few times a month;Same;No;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Canada;Canada;positive
11764;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Satisfied;Very satisfied;Social media (e.g. Facebook, Twitter, Instagram);Block Mahji;Block Majhi;No;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;No;trying to forget;I solve my problems myself;No;Comfortable enough;same-nothing has changed;Yes;5;Yes;Yes;3;Yes;No;;No;;I don't want to answer;Never;Same;No;;Very afraid;No;;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Saudi Arabia;Saudi Arabia, Turkey, UAE;positive
11766;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Very satisfied;Friends and neighbours;Block Mahji;Block Majhi;No;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;No;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;6;Yes;No;;No;;No;A few times a year;Same;Yes;In the market;Very afraid;Yes;No;Very little;Yes;N/A;No;Yes;No;No;;No;very scared;Another (peaceful) place/country;Saudi Arabia;I don't know about the majority;positive
11770;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Unsatisfied;Very satisfied;Friends and neighbours;CIC;Block Majhi;No;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;No;Very comfortable;now;Yes;8;Yes;No;;;No;;No;;No;A few times a month;Same;No;;Very afraid;No;;Very little;Yes;No;No;Yes;No;No;;Yes;very scared;Depends on what the government will decide;Australia, Canada, USA;Australia, Canada, USA;positive
11771;Male;Satisfied;Satisfied;Yes;Unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;No;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;No;talking;I ask for help;No;Very comfortable;same-nothing has changed;No;;;Yes;3;Yes;No;;Yes;No;No;A few times a month;Same;No;;Very afraid;Yes;No;Very little;Yes;N/A;No;Yes;Yes;No;;No;very scared;Myanmar/Motherland;I don't want to go anywhere else.;I don't know about the majority;positive
11772;Female;Very satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Very satisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;A lot of trust;A lot of trust;Never;;Never;;No;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;No;A few times a month;Same;No;;Not afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;I don't want to go anywhere else.;I don't know about the majority;positive
11774;Female;Satisfied;Satisfied;Yes;Unsatisfied;Satisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Satisfied;Satisfied;Family;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;No;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;No;A few times a year;Same;Yes;In the streets;Afraid;No;;Very little;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Canada;Canada;positive
11775;Female;Satisfied;Satisfied;Yes;Unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Very satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;Malaysia;I don't know about the majority;positive
11778;Male;Very unsatisfied;Unsatisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Head Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;15;No;Yes;10;Yes;No;;I don't want to answer;;No;A few times a year;Increased;No;;Afraid;No;;To a great extent;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;Australia;USA;positive
11779;Male;Very unsatisfied;Satisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);Block Mahji;Head Majhi, Community Elders;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;Three times a month;Saudi Arabia;Once a year;Netherlands;Yes;trying to forget;I ask for help;Yes;Comfortable enough;now;Yes;20;No;Yes;15;Yes;No;;No;;I don't want to answer;A few times a month;Increased;I don't want to answer;;I don't have children - does not apply;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;Turkey;USA;positive
11780;Male;Very unsatisfied;Satisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);Block Mahji;Block Majhi, Imam;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Once a year;Netherlands;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;25;No;Yes;20;Yes;No;;No;;I don't want to answer;A few times a month;Increased a lot;I don't want to answer;;Very afraid;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;USA;USA;positive
11781;Female;Very unsatisfied;Unsatisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;I don't want to answer;;I don't want to answer;A few times a week;Increased;I don't want to answer;;Very afraid;No;;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Here, in the camp;Malaysia;USA;positive
11782;Male;Very unsatisfied;Unsatisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi, Imam;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Saudi Arabia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;20;No;Yes;10;Yes;No;;No;;I don't want to answer;A few times a month;Increased a lot;I don't want to answer;;Very afraid;No;;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Here, in the camp;USA;USA;positive
11784;Male;Very unsatisfied;Unsatisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);Block Mahji;Block Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;20;No;Yes;10;Yes;No;;No;;I don't want to answer;A few times a week;Increased a lot;No;;I don't have children - does not apply;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;scared;Myanmar/Motherland;Australia;Turkey;positive
11785;Male;Very unsatisfied;Unsatisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi, Religious Elders;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;10;Yes;No;;I don't want to answer;;No;A few times a week;Increased a lot;I don't want to answer;;Very afraid;No;;Very little;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;Turkey;Turkey;positive
11786;Male;Very unsatisfied;Unsatisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;20;No;Yes;20;Yes;No;;No;;I don't want to answer;A few times a month;Increased a lot;I don't want to answer;;Very afraid;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;USA;USA;positive
11787;Male;Very unsatisfied;Unsatisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Head Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Saudi Arabia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;10;Yes;No;;No;;I don't want to answer;A few times a month;Increased a lot;I don't want to answer;;Very afraid;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;Australia;Turkey;positive
11788;Female;Very unsatisfied;Unsatisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Unsatisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Head Majhi;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;I don't want to answer;;I don't want to answer;A few times a week;Increased a lot;No;;Very afraid;No;;Very little;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;Malaysia;Turkey;positive
11789;Male;Very unsatisfied;Unsatisfied;No;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi, Community Elders;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;10;Yes;No;;I don't want to answer;;No;A few times a week;Increased;I don't want to answer;;Very afraid;No;;Somewhat;Yes;No;Yes;Yes;Yes;No;;No;very scared;Myanmar/Motherland;Malaysia;Turkey;positive
